,solutions,execution_t,fitness_mean,fitness_std,met_mean,met_std
5000,799.6,3.066,16.119999999999997,15.206,4.4719999999999995,3.9699999999999998
10000,1203.0,6.872,14.712,15.185999999999998,4.585999999999999,4.0760000000000005
15000,1463.0,10.126000000000001,15.068000000000001,16.036,4.71,4.1819999999999995
20000,1719.0,13.206,14.916,16.148000000000003,4.764,4.224
25000,2034.0,17.354000000000003,14.870000000000001,16.330000000000002,4.859999999999999,4.264
30000,2206.2,17.842000000000002,15.022,16.625999999999998,5.006,4.354000000000001
35000,2278.0,19.651999999999997,14.654,16.584,4.866,4.318
40000,2438.4,23.228,14.469999999999999,16.592000000000002,5.04,4.41
45000,2635.8,25.169999999999998,14.718,16.726,5.112,4.464
50000,2703.0,28.438,13.860000000000003,16.395999999999997,5.11,4.3999999999999995
55000,2840.4,30.735999999999997,13.998000000000001,16.594,5.188000000000001,4.482
60000,2935.6,34.108000000000004,13.9,16.508,5.258,4.598000000000001
65000,2975.2,42.388,13.836000000000002,16.532,5.210000000000001,4.502000000000001
70000,3027.8,46.976,13.185999999999998,16.286,5.244,4.51
75000,3121.0,47.275999999999996,13.622,16.584,5.27,4.57
80000,3200.8,52.55800000000001,13.36,16.490000000000002,5.384,4.632
85000,3196.6,54.982000000000006,12.951999999999998,16.354,5.308,4.566000000000001
90000,3307.2,55.117999999999995,13.132,16.556,5.424,4.668000000000001
95000,3356.6,57.815999999999995,13.16,16.535999999999998,5.4159999999999995,4.65
100000,3362.2,61.124,12.724,16.387999999999998,5.414,4.678
150000,3687.2,91.172,11.615999999999998,16.016,5.642,4.85
200000,3839.0,125.532,10.663999999999998,15.463999999999999,5.7219999999999995,4.916
250000,3994.2,181.076,10.196000000000002,15.382,5.86,5.048
300000,4066.4,219.766,9.878,15.3,5.9159999999999995,5.0600000000000005
350000,4172.0,256.97200000000004,9.672,15.2,6.04,5.1579999999999995
400000,4273.8,293.024,9.696000000000002,15.309999999999999,6.159999999999999,5.224
450000,4285.4,330.376,9.245999999999999,15.046000000000001,6.1739999999999995,5.256
500000,4313.6,368.514,8.95,14.960000000000003,6.202,5.2299999999999995
550000,4372.6,371.034,8.63,14.698000000000002,6.2379999999999995,5.286
600000,4359.2,338.57800000000003,8.582,14.719999999999999,6.222,5.252
650000,4379.4,372.97999999999996,8.379999999999999,14.713999999999999,6.236,5.306
700000,4404.0,401.364,8.25,14.544,6.247999999999999,5.3
750000,4425.0,437.27200000000005,8.144000000000002,14.530000000000001,6.278,5.272
800000,4442.333333333333,458.57,8.203333333333333,14.61,6.293333333333333,5.293333333333334
850000,4485.8,469.20799999999997,8.074,14.563999999999998,6.337999999999999,5.346
900000,4509.6,494.98999999999995,8.156,14.652000000000001,6.412000000000001,5.394
950000,4492.0,571.922,7.901999999999999,14.435999999999998,6.362,5.368
1000000,4484.0,673.088,7.7,14.241999999999999,6.343999999999999,5.354000000000001
